    10.0,  -2244800.966,   2015706.644,  -6094978.309
    10.1,  -2244334.529,   2015206.591,  -6095314.679
    10.2,  -2243868.070,   2014706.506,  -6095650.973
    10.3,  -2243401.591,   2014206.389,  -6095987.189
    10.4,  -2242935.091,   2013706.240,  -6096323.328
    10.5,  -2242468.570,   2013206.059,  -6096659.391
    10.6,  -2242002.029,   2012705.845,  -6096995.376
    10.7,  -2241535.466,   2012205.600,  -6097331.283
    10.8,  -2241068.882,   2011705.323,  -6097667.114
    10.9,  -2240602.278,   2011205.013,  -6098002.867
    11.0,  -2240135.653,   2010704.671,  -6098338.544
    11.1,  -2239669.007,   2010204.298,  -6098674.143
    11.2,  -2239202.340,   2009703.892,  -6099009.665
    11.3,  -2238735.652,   2009203.454,  -6099345.110
    11.4,  -2238268.943,   2008702.984,  -6099680.477
    11.5,  -2237802.214,   2008202.482,  -6100015.768
    11.6,  -2237335.463,   2007701.948,  -6100350.981
    11.7,  -2236868.692,   2007201.382,  -6100686.117
    11.8,  -2236401.900,   2006700.784,  -6101021.176
    11.9,  -2235935.088,   2006200.154,  -6101356.158
    12.0,  -2235468.254,   2005699.492,  -6101691.062
    12.1,  -2235001.400,   2005198.797,  -6102025.889
    12.2,  -2234534.525,   2004698.071,  -6102360.640
    12.3,  -2234067.629,   2004197.313,  -6102695.312
    12.4,  -2233600.713,   2003696.523,  -6103029.908
    12.5,  -2233133.775,   2003195.701,  -6103364.426
    12.6,  -2232666.817,   2002694.847,  -6103698.867
    12.7,  -2232199.838,   2002193.961,  -6104033.231
    12.8,  -2231732.839,   2001693.043,  -6104367.518
    12.9,  -2231265.819,   2001192.093,  -6104701.728
    13.0,  -2230798.777,   2000691.111,  -6105035.860
    13.1,  -2230331.716,   2000190.097,  -6105369.915
    13.2,  -2229864.633,   1999689.051,  -6105703.892
    13.3,  -2229397.530,   1999187.974,  -6106037.793
    13.4,  -2228930.406,   1998686.864,  -6106371.616
    13.5,  -2228463.262,   1998185.722,  -6106705.362
    13.6,  -2227996.096,   1997684.549,  -6107039.030
    13.7,  -2227528.910,   1997183.343,  -6107372.622
    13.8,  -2227061.704,   1996682.106,  -6107706.136
    13.9,  -2226594.476,   1996180.837,  -6108039.572
    14.0,  -2226127.228,   1995679.536,  -6108372.932
    14.1,  -2225659.960,   1995178.203,  -6108706.214
    14.2,  -2225192.671,   1994676.838,  -6109039.419
    14.3,  -2224725.361,   1994175.441,  -6109372.547
    14.4,  -2224258.030,   1993674.012,  -6109705.597
    14.5,  -2223790.679,   1993172.552,  -6110038.570
    14.6,  -2223323.307,   1992671.059,  -6110371.466
    14.7,  -2222855.915,   1992169.535,  -6110704.284
    14.8,  -2222388.501,   1991667.979,  -6111037.025
    14.9,  -2221921.068,   1991166.391,  -6111369.689
    15.0,  -2221453.614,   1990664.771,  -6111702.275
    15.1,  -2220986.139,   1990163.120,  -6112034.784
    15.2,  -2220518.643,   1989661.436,  -6112367.216
    15.3,  -2220051.127,   1989159.721,  -6112699.570
    15.4,  -2219583.591,   1988657.974,  -6113031.847
    15.5,  -2219116.033,   1988156.195,  -6113364.047
    15.6,  -2218648.456,   1987654.384,  -6113696.169
    15.7,  -2218180.857,   1987152.542,  -6114028.214
    15.8,  -2217713.238,   1986650.668,  -6114360.181
    15.9,  -2217245.599,   1986148.762,  -6114692.071
    16.0,  -2216777.939,   1985646.824,  -6115023.884
    16.1,  -2216310.259,   1985144.854,  -6115355.620
    16.2,  -2215842.558,   1984642.853,  -6115687.278
    16.3,  -2215374.836,   1984140.820,  -6116018.858
    16.4,  -2214907.094,   1983638.755,  -6116350.362
    16.5,  -2214439.332,   1983136.659,  -6116681.787
